"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Jay Cutler",2017,"QB","Mia",188.269332744866,128.68476013936,215.983238095238,220.14,155.84
"Eli Manning",2009,"QB","Nyg",188.158360723342,173.716721446685,202.6,NA,241.34
"Miles Austin",2011,"WR","Dal",188.123941885536,171.247883771072,205,NA,120.7
"Eddie Lacy",2016,"RB","Gnb",188.020212051164,156.032032978889,198.728603174603,209.3,40.8
"Brandin Cooks",2015,"WR","Nor",187.989580804425,163.920842514383,212.058319094467,200.7,213
"Robert Gronkowski",2013,"TE","Nwe",187.671722094869,185.599444189739,189.744,NA,103.7
"Wes Welker",2013,"WR","Den",187.544816582376,186.158466498086,188.931166666667,NA,178.633333333333
"Desean Jackson",2011,"WR","Phi",187.461411120636,199.822822241273,175.1,NA,163.233333333333
"Ryan Fitzpatrick",2014,"QB","Hou",187.450650207245,198.787683955069,179.544266666667,184.02,179.72
"Dwayne Bowe",2008,"WR","Kan",187.4,NA,187.4,NA,189.2
"Marshawn Lynch",2012,"RB","Sea",187.394775880788,164.507051761575,210.2825,NA,258.1
"Matthew Stafford",2011,"QB","Det",187.14815309875,154.8163061975,219.48,NA,339.32
"Jahvid Best",2011,"RB","Det",187.126708207125,164.75341641425,209.5,NA,99.2
"Reggie Bush",2013,"RB","Det",187.074550887278,151.409768441222,222.739333333333,NA,212.2
"Justin Forsett",2015,"RB","Bal",187.053794593931,138.7699898424,214.791393939394,207.6,106.9
"Juju Smith Schuster",2018,"WR","Pit",186.824818663815,191.33935012594,182.31028720169,173.7,NA
"Jamal Lewis",2008,"RB","Cle",186.8,NA,186.8,NA,152.5
"Marques Colston",2010,"WR","Nor",186.782553105358,172.565106210717,201,NA,187.4
