"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Joshua Morgan",2008,"WR","Sfo",53.5,NA,53.5,NA,69.9
"Brett Keisel",2012,"DE","Pit",53.4908112125241,53.4908112125241,NA,NA,51.75
"Jonathan Dwyer",2010,"RB","Pit",53.4879405566493,45.3758811132986,61.6,NA,2.8
"Keenan Lewis",2015,"DB","Nor",53.4759926832819,59.0019853665638,47.95,NA,7
"Marcell Dareus",2013,"DT","Buf",53.4695514515764,53.4695514515764,NA,NA,83.75
"Rolando Mcclain",2014,"LB","Dal",53.4164463422676,53.4164463422676,NA,NA,97.5
"Randy Starks",2010,"DE","Mia",53.3990109207355,53.3990109207355,NA,NA,39
"Andre Holmes",2017,"WR","Buf",53.393134665693,44.670269331386,62.116,57.3,43
"Bruce Johnson",2010,"","Nyg",53.3921559129944,53.3921559129944,NA,NA,5
"Ashlee Palmer",2013,"LB","Det",53.3606996590649,53.3606996590649,NA,NA,37
"Joshua Robinson",2014,"CB","Min",53.3512940672123,53.3512940672123,NA,NA,54.25
"Ryan Mundy",2013,"FS","Nyg",53.3309386679667,53.3309386679667,NA,NA,75.75
"Joshua Wilson",2010,"RCB","Bal",53.3299487638497,53.3299487638497,NA,NA,66.75
"Joseph Morgan",2014,"WR","Nor",53.3148684651726,88.9297369303451,17.7,17.7,19.9
"Bashaud Breeland",2015,"DB","Was",53.3125,NA,53.3125,NA,103.5
"Chris Johnson",2011,"CB","Oak",53.2985079015109,53.2985079015109,NA,NA,18
"Kamerion Wimbley",2013,"DE","Ten",53.2953480034556,53.2953480034556,NA,NA,18
"Joshua Morgan",2012,"WR","Was",53.2881320799151,60.1262641598302,46.45,NA,113.5
"Kenyon Coleman",2011,"DE","Dal",53.2869616474339,53.2869616474339,NA,NA,36.5
"Maxx Williams",2018,"TE","Bal",53.2709208783716,53.2709208783716,NA,NA,NA
"Michael Hoomanawanui",2011,"TE","Lar",53.2696227939985,57.939245587997,48.6,NA,15.3
"Leonard Pope",2010,"TE","Kan",53.2408492496801,55.8816984993602,50.6,NA,29.6
"Patrick Robinson",2016,"DB","Ind",53.2395724569435,58.2208115805537,48.2583333333333,NA,28
"Jadeveon Clowney",2015,"LB","Hou",53.2125,48.1499081236139,53.2125,NA,55.75
"Eric Smith",2012,"S","Nyj",53.1970323420584,53.1970323420584,NA,NA,22.75
"Mark Anderson",2012,"DE","Buf",53.1638315137239,53.1638315137239,NA,NA,15
"Akeem Ayers",2014,"LB","Nwe/ten",53.1616190368948,53.1616190368948,NA,NA,36.25
"Daquan Bowers",2013,"DE","Tam",53.1555635011041,53.1555635011041,NA,NA,7
"Geno Smith",2016,"QB","Nyj",53.1500848689052,118.800147463858,23.5701071428571,17.08,8.94
"Jeron Mastrud",2011,"WR","Mia",53.1443485112833,53.1443485112833,NA,NA,1.8
